Company_ID,Company_Name,Ticker,Sector,Market_Cap_Cr,Current_Price,TTM_PE,TTM_PB,TTM_ROE,TTM_ROCE,TTM_Revenue_Growth,FY26_PE,FY26_PB,FY26_ROE,FY26_ROCE,FY26_EPS_Growth,FY26_Revenue_Growth,FY26_EBITDA_Margin,FY26_Net_Margin,FY27_PE,FY27_EPS_Growth,FY27_Revenue_Growth,Gross_Margin,Operating_Margin,EBITDA_Margin,Net_Profit_Margin,EV_EBITDA,EV_Sales,Price_to_Sales,Price_to_Cash_Flow,Asset_Turnover,Inventory_Turnover,Receivables_Turnover,Debt_to_Equity,Current_Ratio,Quick_Ratio,Interest_Coverage,Revenue_CAGR_5Y,Earnings_CAGR_5Y,Book_Value_CAGR_5Y,Beta,Dividend_Yield,Payout_Ratio,Category,Sector_Weight,ESG_Score,Institutional_Holding,Promoter_Holding,Volatility_52W,Max_Drawdown_1Y,Sharpe_Ratio
1,Hdfcbank Ltd,HDFCBANK,Banking,397696.9126743275,2848.002796803326,59.95551090774091,6.016847815830824,35.65362066580825,31.717309554095962,-0.8590650312243007,16.563058384608375,4.325055400429645,25.320216548809036,17.470085101936462,11.864230279411508,11.654454336799974,15.030722521825119,17.11186294461052,10.744474447537579,12.285413677696038,11.388472179041802,39.24505533258905,20.59654506672817,17.922671379423853,24.434891610073397,20.030744129021464,3.2365680641351746,3.934393996593676,9.84439542336228,1.8112774888467613,7.5918684618813606,12.743243302396337,0.8908469939159379,1.4174362253975519,1.9029848810256744,6.236553342039651,15.35223449778167,21.00009696211982,10.463494566197792,0.3521137803656625,2.737581724116846,3.1969874912143936,Large Cap,13.41,84.40165266667888,48.25816857509015,27.665248778561637,34.197052827036956,-18.315434055394494,2.14168551599985
2,Icicibank Ltd,ICICIBANK,Banking,156644.1297854001,1568.0013970647958,23.067869916297294,5.829777827134196,9.212168563334107,34.34571420937121,13.941903302672408,13.826967783292414,1.7644393925242154,34.261531360985344,17.60451570276918,26.7065380396779,13.244011317947876,19.85989447257006,14.92754967554154,14.95088352553529,9.330915617439297,11.101485097510876,41.121659118729696,22.634214278379858,20.01359575697395,8.69032612805215,15.241905257772874,2.8903131754360443,4.652354376853448,11.815155640424564,1.976261556543899,9.498644840561363,11.921128928540114,1.2385295817144633,3.268080571073093,2.282127101913237,11.65836282507275,19.55641462337057,12.363506359393892,18.656891580061835,0.44112211715924016,3.7881308173012487,50.60280657497685,Large Cap,13.41,94.77850329727534,84.19112895341524,32.761022878486585,28.114346415853035,-22.663622553922295,1.5793422398535844
3,Sbin Ltd,SBIN,Banking,87176.54213770684,3270.1788962774176,24.88121021663259,3.549250582883494,6.050448258941971,33.639915910914354,12.897210084360982,17.061490754703886,2.6608199191810016,29.90921988812157,13.163804872777735,13.339609523994307,19.258358523043825,25.03683920473125,9.145021764293224,10.396797096524537,13.342856386692006,15.734132177303795,51.48228788830852,19.859050506723634,17.97610088824626,18.19708296100004,16.702895055546165,7.053708565978467,1.2552559978055495,18.9625353467635,2.437035810786445,6.168048924766623,13.848180495830697,1.1897725519430857,3.4703696482784556,2.3087781198291926,20.566615494579892,10.245339593067708,19.187952313282437,14.798143383568275,0.9255064997585793,2.3685136504635116,27.42321750040082,Mid Cap,13.41,54.93588571964746,83.45210831487468,25.156128110997283,21.86453637274623,-32.885932402310516,2.325751617537125
4,Kotakbank Ltd,KOTAKBANK,Banking,209154.71265807626,2786.1477308303865,39.99093975274349,7.383289502268156,6.938419314145573,33.99595161441482,31.287542259687804,7.990984684723295,5.633506447216463,32.4091665208915,16.980630069476785,15.623117132099303,18.569496270527456,25.282615636079736,12.511167081825105,12.2816064485848,14.404082318746987,12.549506971756173,50.43938064408789,15.221765812515379,12.710044885475973,9.420108958985043,16.028976181841067,6.086458590197886,2.9443967811353797,11.003505508182153,2.389389084450924,9.951871492630076,7.910344484781115,1.0674375359246864,1.9369924171478283,2.39886591277486,19.215604112927608,13.996365521325618,25.13400953809348,10.360308004172667,1.3280273182711273,0.36920747996627756,21.876345430224905,Large Cap,13.41,59.71384181634507,82.50767353380795,42.92081487732419,28.878237631740486,-9.556780968183038,2.189728442878928
5,Axisbank Ltd,AXISBANK,Banking,357693.8877582356,4470.418060758121,52.89011081256365,5.044987702347486,38.764953183307675,9.179965571012477,-1.3252938156029326,9.896708703889402,3.5387536651520417,44.928633722110526,29.44473946004286,9.579441376386681,11.280856506720818,34.92173637219191,18.46786889010704,15.076110601053681,16.70625781530577,12.412697018036159,31.10373142402583,14.379988820091679,21.822580831918458,14.096332940050363,16.027945647515732,4.3278170572557375,2.8682051982548833,8.242397844390476,1.5209435395640893,8.644766162072425,10.881887247179163,1.3142905508911091,1.5518600879764919,2.4848713888632643,21.146508609260103,12.163057281258293,19.236707634951962,12.894298263693978,1.248606910768406,3.234282685122307,47.80582317913211,Large Cap,13.41,79.45028242275103,42.470423279338426,25.15305987052731,41.44252917914857,-11.594531707863851,0.9991252416471033
6,Indusind Ltd,INDUSIND,Banking,257425.50259231188,3603.626857592518,23.131320624495892,2.8179826574165343,31.538770485479183,16.26806144049126,22.194868829060752,16.678536978658585,5.3242226682766205,30.37016294740935,37.45973492031504,26.036998212110714,10.223810149373783,14.365289510806692,18.424871357442484,10.806205434939649,10.263302016061706,14.558179459460243,39.0409355794493,12.846316385221964,33.28034892642579,9.830908744686997,21.742509810908494,4.394909460035771,1.5836955874908936,8.228704722382512,2.104839062443137,8.515903299776898,11.444261949102312,1.4386105733862513,2.7693823150011534,1.7531136858297587,16.135729708882316,6.1676336789688975,29.307536529115264,15.98110989136973,1.78141858577557,3.5217533524454714,26.206438919474383,Large Cap,13.41,91.06307051673002,70.32695631887954,53.89065170969475,35.391674135777365,-22.36967457495343,0.552058894125925
7,Bandhanbnk Ltd,BANDHANBNK,Banking,398862.65982365265,1394.4813629138805,39.90750591561489,6.412365262958855,20.61714918179676,18.52333286865114,-4.219123685803998,17.604183348959623,4.815247386953255,24.624926558836677,48.11313691348368,10.628181379145655,19.121192238757274,27.614014622080767,18.849028945537597,12.339034952744608,21.464368694841404,12.959363965360005,29.881838975595677,13.487628747239224,25.55052551810256,8.889690000266253,10.472739249219797,1.2404508719478966,4.898402924991404,16.266157967585645,0.8750515850816277,6.3024050707436405,11.007373123633153,0.2842713449853659,2.583764174767914,1.8695334167434126,15.41377959483267,16.814547231497475,29.63125818183481,11.411663122831994,0.5565884839293094,4.0281009075843075,42.974032124682246,Large Cap,13.41,72.2656261611413,40.53057738809027,69.00148535244448,34.75391477367627,-22.92885189823658,0.5779002533988058
8,Federalbnk Ltd,FEDERALBNK,Banking,85917.75782776215,4892.2930829799725,32.28562803921961,4.840977400677848,36.05714212082384,38.007024286551726,23.3980529623903,10.053101148963627,5.1662600065693765,42.389808169306804,41.895446264752294,12.86202984210374,19.492116960544983,21.63681409801947,23.989370303873365,14.287440545774093,19.075395378592656,15.93433398548642,64.51101768063754,16.493694885246462,34.7499518232802,7.327882768847431,19.896107622616242,1.6063649325125573,4.5308014702092025,23.29348314616908,1.699805429169324,5.538991936153198,9.669179094694798,1.4957821173475074,2.2392379539510863,0.9730022438695136,12.056613722399796,22.964102079400867,34.3194790670635,18.142981894268466,1.2523832495688618,2.258180406659165,51.424553122934576,Mid Cap,13.41,78.51427259460112,59.96943019380845,33.02066597696892,27.15070890406732,-31.816351375837122,0.5644772693702687
9,Pnb Ltd,PNB,Banking,480078.3605142508,3675.2034550682015,15.793192948306238,1.1730141684869213,40.52244631755933,13.12416285272839,28.23989938623781,16.01462445824427,2.8679056037776918,34.98097044718227,43.11236312909382,20.254333464266516,22.589064713737738,18.357630757384232,17.14097745042529,13.652321706679565,9.851664473645013,10.003105937806566,38.02500374712673,25.341060743158007,14.494917935434852,6.230376643858893,15.585465452635603,7.6381421401442005,2.6124370843177545,15.39752803958312,1.7544444092955418,7.637578587695721,11.565193836894537,0.3711548384140937,2.776583481438232,2.453462896289661,9.818018137562149,12.86114604024512,33.61484477437597,11.256088140213391,1.663240263570934,4.043104883842315,12.266000050842498,Large Cap,13.41,67.94974496345321,58.43232946989785,72.4108973019111,44.5727078456604,-12.455878411571128,2.27517589106315
10,Unionbank Ltd,UNIONBANK,Banking,219926.74207742198,587.7075288652734,14.115712075066671,5.444465711133098,8.452032159487128,13.008906968047954,30.918883635258354,14.231770643325746,5.245635020840293,22.930860285191695,20.33507668147307,25.414348549225966,22.920413107874687,13.496331979111096,19.851889726667785,13.42736691209345,21.17407587895675,14.07111433787571,36.81180897951524,21.001827389621923,27.91342463075454,23.51156790267407,24.24150960459785,4.770808160756042,4.305594658638413,13.27918557377371,1.498712457729789,8.585646243594262,12.700241067134606,1.0911351496698503,1.4686604299501536,1.41926094464909,22.569124040456426,23.437810413480484,9.509921988059352,16.86334893370468,0.9189426291778946,3.4572138813555187,24.913955433872026,Large Cap,13.41,74.27892144647646,78.75835697530242,59.39420424413085,25.622051508138206,-32.63964241134677,1.6453359953801074
